country,name,related_documents,policy_type,policy_status,impact_on_eu_ets_esd_or_lulucf_emissions,policy_target,total_ghg_emissions_reductions_in_2020,total_ghg_emissions_reductions_in_2030,jurisdiction,agency,policy_implementation_period_start_year,related_to_eu_policy_boolean,related_to_eu_policy,ghgs_affected,description,policy_implementation_period_end_year,link,data_source,world_region,country_region,city,policy_written_year,impact_evaluation,policy_financing_quantity,policy_financing_period_start,policy_financing_period_end,percent_private_funded,related_to_neeap_policy,related_to_neeap_policy_boolean
France,Expérimentation du label « Bâtiments à énergie positive et réduction Carbone » (bâtiments neufs),Single PaM,Other,Implemented,ESD,Energy consumption,,,Government,Government: Ministère en charge du logement,2017,No,No information,CO2,"Lancement fin 2016 de l’expérimentation du label « Bâtiments à énergie positive et réduction Carbone » pour la construction de bâtiments exemplaires qui préfigure la future réglementation environnementale. Ce label met en place un standard environnemental innovant pour les bâtiments neufs, qui réunit des exigences à la fois en matière d’énergie et d’émissions de gaz à effet de serre dans le bâtiment. Grâce à ce double critère « énergie » et « carbone », il permet aux maîtres d’ouvrage de choisir la combinaison adéquate en fonction des spécificités du territoire, de la typologie de bâtiments et des coûts induits.",2020,http://www.batiment-energiecarbone.fr/,eea,,,,,,,,,,,
France,Réglementation thermique Guadeloupe,Single PaM,Regulatory,Implemented,ESD,Energy consumption,,,Regional,Regional: Conseil régional de la Guadeloupe,2011,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU),CO2,"Les Antilles disposent d’une réglementation régionale spécifique sur le volet thermique et énergétique pour les constructions neuves, complétant au niveau local la RTAA DOM (cf. mesure #53). La réglementation thermique Guadeloupe (RTG) se fonde sur les principes suivants : limiter la consommation énergétique des bâtiments, améliorer le confort hygrothermique des occupants et limiter le recours à la climatisation.",,http://www.guadeloupe-energie.gp/batiment/rtg-construction,eea,,,,,,,,,,,
France,Réglementation thermique Martinique,Single PaM,Regulatory,Implemented,ESD,Energy consumption,,,Regional,Regional: Conseil régional de la Martinique,2013,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU),CO2,"Les Antilles disposent d’une réglementation régionale spécifique sur le volet thermique et énergétique pour les constructions neuves, complétant au niveau local la RTAA DOM (cf. mesure #53). La réglementation thermique Martinique (RTM) se fonde sur les principes suivants : limiter la consommation énergétique des bâtiments, améliorer le confort hygrothermique des occupants, et limiter le recours à la climatisation.",,,eea,,,,,,,,,,,
France,"Réglementation Thermique, Acoustique et Aération dans les départements d'outre-mer",Single PaM,Regulatory,Implemented,ESD,Energy consumption,,,Government,Government: Ministère de l'Environnement,2010,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU),CO2,"Les textes réglementaires relatifs aux caractéristiques thermiques, énergétiques, acoustiques et d’aération des bâtiments d’habitation neufs et parties nouvelles de bâtiments d’habitation sont adaptés au contexte climatique des départements d’outre-mer dans la Réglementation Thermique, Acoustique et Aération des départements d'outre-mer (RTAA DOM). La RTAA DOM se fonde sur les principes suivants : disposer d’eau chaude sanitaire dans tous les logements neufs, et, pour toutes les installations, la produire par énergie solaire pour une part au moins égale à 50% des besoins ; limiter la consommation énergétique des bâtiments et améliorer le confort hygrothermique des occupants ; limiter le recours à la climatisation ; garantir la qualité de l’air intérieur du logement ; améliorer le confort acoustique des logements, tout en maîtrisant les coûts.",,http://www.developpement-durable.gouv.fr/reglementation-technique-construction-outre-mer,eea,,,,,,,,,,,
France,Réglementation thermique dans les bâtiments existants,Single PaM,Regulatory,Implemented,"ESD, EU ETS",Energy consumption,,,Government,Government: Ministère en charge du logement,2007,Yes,Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU),CO2,"La réglementation thermique dans les bâtiments existants s’applique lorsqu’un maître d’ouvrage entreprend des travaux susceptibles d’apporter une amélioration énergétique du bâtiment. Pour les rénovations lourdes sur des bâtiments de plus de 1000m², un objectif de performance énergétique global doit être atteint. Pour les rénovations moins importantes, des exigences minimales sont fixées sur les performances énergétiques des éléments installés ou remplacés. Pour ces dernières exigences, les critères ont été rehaussés en 2017.",,http://www.logement.gouv.fr/presentation-des-exigences-reglementaires-pour-la-renovation-energetique,eea,,,,,,,,,,,
France,Obligation de réalisation d'un audit énergétique dans les copropriétés,Single PaM,"Information, Regulatory",Expired,ESD,Energy consumption,,,Government,Government: Ministère de l'Environnement,2012,No,No information,CO2,"D’ici le 1er janvier 2017, un audit énergétique doit être réalisé dans les copropriétés construites avant 2000 comprenant 50 lots ou plus et équipées d’une installation collective de chauffage ou de refroidissement. Cet audit comprend, pour chaque bâtiment de la copropriété, l’estimation de la consommation annuelle d’énergie du bâtiment liée au chauffage, au refroidissement, à la production d’eau chaude sanitaire, à l’éclairage et à la ventilation. L'audit doit comporter des propositions de travaux destinés à améliorer la performance énergétique du bâtiment. Il doit être réalisé par une personne qualifiée et indépendante.",2017,https://www.legifrance.gouv.fr/eli/decret/2012/1/27/DEVL1117240D/jo,eea,,,,,,,,,,,
France,Annexe environnementale au bail des locaux commerciaux et de bureaux,Single PaM,"Information, Regulatory",Implemented,"EU ETS, ESD",Energy consumption,,,Government,Government: Ministère de l'Environnement,2012,No,No information,CO2,"Depuis 2012, pour les locaux professionnels à usage de bureaux ou de commerces d’une surface supérieure à 2 000 m², une annexe environnementale (dite annexe verte) doit accompagner le contrat pour les baux nouvellement conclus ou renouvelés. À partir du 14 juillet 2013, elle devient obligatoire pour tous les baux en cours. L’annexe environnementale doit comporter un descriptif des caractéristiques énergétiques des équipements et des systèmes, leur consommation réelle d’eau et d’énergie et la quantité de déchets générée par le bâtiment.",,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025059834&amp;categorieLien=id,eea,,,,,,,,,,,
France,Label Haute Performance Energétique (HPE) rénovation,Single PaM,Information,Implemented,"ESD, EU ETS",Energy consumption,,,Government,Government: Ministère en charge du logement,2009,No,No information,CO2,"Le label « haute performance énergétique rénovation » permet de valoriser la démarche volontaire de maîtres d’ouvrage désireux de réaliser une opération de rénovation performante, voire très performante, du point de vue énergétique. Il s’applique uniquement aux bâtiments achevés après le 1er janvier 1948. Il atteste que le bâtiment respecte un niveau de performance énergétique élevé ainsi qu’un niveau minimal de confort en été.",,http://www.logement.gouv.fr/le-label-hpe-renovation,eea,,,,,,,,,,,
France,"Obligation de réalisation de travaux d’isolation thermique en cas de travaux importants de façade, de réfection de toiture ou d’aménagement de pièces",Single PaM,Regulatory,Implemented,"ESD, EU ETS",Energy consumption,663.0,2287.0,Government,Government: Ministère en charge du logement,2017,No,No information,CO2,"Une obligation de mettre en œuvre une isolation thermique est prévue lorsque de gros travaux de rénovation de bâtiments sont réalisés : ravalement de façade, réfection de toiture, et transformation de garages, combles, ou pièces non aménagées en pièces habitables. Cette mesure permet de saisir les opportunités de travaux importants de réhabilitation choisis par un maître d’ouvrage pour y associer à moindre coût des travaux de rénovation énergétique et ainsi diminuer les besoins en énergie du bâtiment. Cette obligation s’applique pour les devis d’engagement de prestation de maîtrise d’œuvre signés depuis le 1er janvier 2017 pour les bâtiments à usage d’habitation, de bureaux, de commerce, d’enseignement et les hôtels.",,,eea,,,,,,,,,,,
France,Déploiement des plateformes de la rénovation énergétique : guichet unique et réseau de points rénovation info service,Single PaM,Information,Implemented,"ESD, EU ETS",Energy consumption,,,"Government, Other, Regional","Other: ADEME,Regional: Régions,Government: Ministère en charge du logement",2014,No,No information,CO2,"Le plan de rénovation énergétique de l’habitat s’appuie sur la mise en place d’un guichet unique composé d’un numéro de téléphone unique et d’un site internet ainsi que d’un réseau de 450 points rénovation info service répartis sur tout le territoire. Les particuliers peuvent appeler le numéro de téléphone ou se connecter sur le site internet qui les orienteront vers le point rénovation info service le plus proche de chez eux. Ils seront alors mis en relation avec un conseiller énergie présent sur le territoire capable de les conseiller, en fonction de leur situation, de façon neutre et indépendante sur les travaux de rénovation à réaliser dans leur logement.",,,eea,,,,,,,,,,,
France,Tiers financement des travaux de rénovation énergétique,Single PaM,Economic,Implemented,"ESD, EU ETS",Energy consumption,,,Local,Local: collectivités locales,2015,No,No information,CO2,"Le déploiement des dispositifs de tiers financement des travaux de la rénovation énergétique, notamment par les collectivités locales, permet de proposer un accompagnement complet du particulier comprenant une solution adaptée de financement et un suivi de la réalisation des travaux. La loi pour l’accès au logement et un urbanisme rénové a défini la notion de tiers financement et la loi sur la transition énergétique pour une croissance verte vise la levée des freins au déploiement des services de tiers financement par les collectivités locales.",,,eea,,,,,,,,,,,
France,Le règlement n° 517/2014 (F-Gas II) pour la réduction des émissions de gaz à effet de serre fluorés,Single PaM,Regulatory,Implemented,ESD,Industrial processes,653.0,5404.0,Government,Government: Ministère de l'Environnement,2015,Yes,F-gas Regulation 517/2014 ,"HFC, PFC, SF6, NF3","Entré en vigueur le 1er janvier 2015, le règlement européen n° 517/2014 (dit F-Gas II) abroge et remplace le règlement n° 842/2006 (« F-Gas »). Il repose sur les dispositions suivantes :
- le renforcement des obligations liées au confinement des équipements (contrôles d’étanchéité, obligations de réparation), à la certification du personnel manipulant les HFC, et à l'obligation de récupération lors de la maintenance et du démantèlement des équipements ;
- la mise en place d’un mécanisme de réduction progressive des quantités de HFC mises sur le marché de 2015 à 2030 via un système de quotas. En 2030, la quantité totale de HFC mise sur le marché, en CO2 équivalent, devra correspondre à 21 % du niveau moyen entre 2009 et 2012 ;
- des interdictions sectorielles de mise sur le marché de produits et d’équipements contenant des gaz à effet de serre fluorés dépassant un certain PRG ;
- l’interdiction de maintenance des installations de réfrigération avec des fluides de PRG supérieur à 2 500 à partir du 1er janvier 2020.",,http://cdr.eionet.europa.eu/fr/eu/mmr/art04-13-14_lcds_pams_projections/pams/envwm_t7a/Rapport_2017_France_MMR_article_13.pdf,eea,,,,,,,,,,,
France,"Le renforcement de la réglementation relative au contrôle d’étanchéité des équipements frigorifiques, climatiques et thermodynamiques",Single PaM,Regulatory,Implemented,ESD,Industrial processes,192.0,40.0,Government,Government: Ministère de l'Environnement,2016,Yes,F-gas Regulation 517/2014 ,HFC,"L’arrêté du 29 février 2016 relatif à certains fluides frigorigènes et aux gaz à effet de serre fluorés renforce la réglementation française en matière de contrôle d’étanchéité des équipements frigorifiques, climatiques et thermodynamiques, complétant les dispositions du règlement européen F-Gas II. Il requiert notamment une fréquence renforcée des contrôles d’étanchéité, spécifie des mesures techniques pour la réalisation des contrôles et oblige les grands équipements à être équipés d’un système automatisé de détection des fuites. Cette mesure contribue à limiter les émissions fugitives de ces équipements.",,http://cdr.eionet.europa.eu/fr/eu/mmr/art04-13-14_lcds_pams_projections/pams/envwm_t7a/Rapport_2017_France_MMR_article_13.pdf,eea,,,,,,,,,,,
France,Le renforcement de la réglementation relative à la récupération des déchets de fluides fluorés et à l'encadrement des équipements préchargés en HFC,Single PaM,Regulatory,Implemented,ESD,Industrial processes,,,Government,Government: Ministère de l'Environnement,2015,Yes,F-gas Regulation 517/2014 ,HFC,"Le décret n° 2015-1790 relatif à certains fluides frigorigènes et aux gaz à effet de serre fluorés renforce la réglementation française en matière de récupération des déchets de fluides ainsi que l'encadrement des ventes au public des équipements préchargés en HFC, complétant les dispositions du règlement européen F-Gas II.",,,eea,,,,,,,,,,,
France,"Appel à projets ""Climatisation et froid du futur"" pour soutenir la production de systèmes de climatisation et réfrigération respectueux de l’environnement",Single PaM,Research,Implemented,ESD,Industrial processes,,,Other,Other: ADEME,2015,No,No information,"HFC, PFC","En août 2015, l'appel à projets ""Climatisation et froid du futur"" a été lancé par l'ADEME pour permettre aux entreprises françaises d'obtenir des aides pour leurs projets de recherche et développement afin de faire émerger des solutions performantes et alternatives à l’utilisation de fluides à fort PRG. En mars 2016, une deuxième phase de cet appel à projets a été lancée, dédiée aux investissements industriels, pour permettre aux entreprises de renoncer à la production d’équipements utilisant des gaz à fort effet de serre et d’avoir un temps d’avance sur le plan réglementaire.",,,eea,,,,,,,,,,,
France,"Obligation de réalisation d'un bilan d'émissions de gaz à effet de serre pour les entreprises, les collectivités, les services de l'Etat et les établissements publics",Single PaM,"Information, Regulatory",Implemented,"ESD, EU ETS",Cross-cutting,,,Government,Government: Ministère de l'Environnement,2012,No,No information,"CO2, CH4, N2O, HFC, PFC, SF6, NF3","Un bilan d’émissions de gaz à effet de serre est un diagnostic des émissions de gaz à effet de serre à l'échelle d'une organisation (privée ou publique), réalisé en vue d’identifier et de mobiliser les gisements de réduction des émissions. La réalisation d'un bilan des émissions de gaz à effet de serre est obligatoire depuis 2012 pour les entreprises de plus de 500 salariés, les collectivités de plus de 50 000 habitants, les services de l'Etat et les établissements publics employant plus de 250 personnes. Le bilan d’émissions doit être accompagné d’un plan d’actions précisant les mesures envisagées pour réduire les émissions de gaz à effet de serre de l’organisation. Le bilan et le plan d'actions doivent être réalisés tous les trois ans dans le cas des collectivités et des établissements publics et tous les quatre ans dans le cas des entreprises.",,http://www.developpement-durable.gouv.fr/actions-des-entreprises-et-des-collectivites-climat; http://www.bilans-ges.ademe.fr/,eea,,,,,,,,,,,
France,Obligation de reporting climatique pour les grandes entreprises,Single PaM,"Information, Regulatory",Implemented,"EU ETS, ESD",Cross-cutting,,,Government,Government: Ministère de l'Economie,2016,No,No information,"CO2, CH4, N2O, HFC, PFC, SF6, NF3","La loi relative à la transition énergétique pour la croissance verte d'août 2015 a renforcé les obligations de reporting concernant l’impact des entreprises sur le changement climatique. Les grandes entreprises doivent intégrer à leur reporting extra-financier des informations sur les conséquences sur le changement climatique de leur activité et de l’usage des biens et services qu’elles produisent. Le rapport sur la responsabilité sociétale et environnementale (RSE) annexé au rapport de gestion annuel doit ainsi rendre compte des postes significatifs d’émissions de gaz à effet de serre générés du fait de l’activité de la société, notamment par l’usage des biens et services qu’elle produit. Cette obligation s’applique à compter des rapports de gestion publiés en 2017 pour l’année 2016.",,,eea,,,,,,,,,,,
France,Obligation de reporting climatique pour les investisseurs,Single PaM,"Information, Regulatory",Implemented,"EU ETS, ESD",Cross-cutting,,,Government,Government: Ministère de l'Economie,2016,No,No information,"CO2, CH4, N2O, HFC, PFC, SF6, NF3","La loi relative à la transition énergétique pour la croissance verte d'août 2015 a complété le dispositif réglementaire relatif à l’information par les sociétés de gestion de portefeuille des critères environnementaux, sociaux, et de gouvernance (dits « ESG ») pris en compte dans leur politique d’investissement. Les investisseurs institutionnels doivent ainsi publier des informations relatives à leur contribution aux objectifs climatiques et aux risques financiers associés à la transition énergétique et écologique. Ces obligations sont applicables à compter des rapports de gestion publiés en 2017 pour l’année 2016.",,,eea,,,,,,,,,,,
France,"Appel à projets ""Territoires à Energie Positive pour la Croissance Verte""",Single PaM,Economic,Implemented,"EU ETS, ESD",Energy consumption; Energy supply; Transport; Waste management/waste,,,Government,Government: Ministère de l'Environnement,2014,No,No information,CO2,"En septembre 2014, le ministère de l'environnement a lancé l’appel à projets ""Territoires à énergie positive pour la croissance verte"" (TEPCV) à destination des collectivités souhaitant s’engager par des actions concrètes dans la transition énergétique. Les collectivités lauréates se voient attribuer une aide financière de 500 000 € sous forme de subventions pour soutenir leurs actions en faveur de la transition énergétique (réduction de la consommation d'énergie, développement des transports propres, développement des énergies renouvelables, etc.). De plus, ces territoires pionniers ont l’opportunité de voir leur aide TEPCV renforcée jusqu’à 2 millions d’euros en fonction de la qualité des projets.",,http://www.developpement-durable.gouv.fr/territoires-energie-positive-croissance-verte,eea,,,,,,,,,,,
France,"Les schémas régionaux du climat, de l’air et de l’énergie",Single PaM,Planning,Implemented,"EU ETS, ESD",Cross-cutting,,,"Government, Regional","Government: Ministère de l'Environnement,Regional: Régions",2011,No,No information,"CO2, CH4, N2O, HFC, PFC","Le schéma régional du climat, de l’air et de l’énergie (SRCAE) est un outil de planification territorial permettent la mise en place d’une approche globale et intégrée pour le territoire régional qui définit les objectifs et priorités en matière de réduction des consommations d’énergie et des émissions de gaz à effet de serre, d’amélioration de la qualité de l’air, de développement des énergies renouvelables et d’adaptation aux effets du changement climatique. Le SRCAE résulte d’un travail collégial piloté par le Préfet de région et le président du Conseil régional, qui associent toutes les forces territoriales en présence. Le SRCAE est le un document essentiel de référence pour l’élaboration des Plans climat-air-énergie territoriaux, établis à l’échelle des intercommunalités.",,http://www.developpement-durable.gouv.fr/actions-des-entreprises-et-des-collectivites-climat#e8,eea,,,,,,,,,,,
France,"Les schémas régionaux d’aménagement, de développement durable et d’égalité des territoires",Single PaM,Planning,Adopted,"EU ETS, ESD",Cross-cutting,,,Regional,Regional: Régions,2019,No,No information,"CO2, CH4, N2O, HFC, PFC","Le dispositif de planification régionale a été refondé en profondeur en 2016. Cette réforme concerne la métropole, à l’exclusion de l’Île-de-France et de la Corse. Le schéma régional du climat, de l'air et de l'énergie (SRCAE) (cf. mesure #69) sera absorbé d’ici mi-2019 dans un schéma intégrant les différentes politiques de développement durable : le schéma régional d’aménagement, de développement durable et d’égalité des territoires (SRADDET). Le SRADDET définit, entre autres, des objectifs à moyen terme de lutte contre le changement climatique et de maîtrise et de valorisation de l’énergie.",,http://www.developpement-durable.gouv.fr/actions-des-entreprises-et-des-collectivites-climat#e8,eea,,,,,,,,,,,
France,Les plans climat-énergie territoriaux,Single PaM,Planning,Expired,ESD,Cross-cutting,,,Local,Local: Collectivités,2011,No,No information,"CO2, CH4, N2O, HFC, PFC","Les plans climat-énergie territoriaux (PCET) sont des projets territoriaux de développement durable dont la finalité est la lutte contre le changement climatique et l’adaptation du territoire. Les PCET sont élaborés par les collectivités territoriales de plus de 50 000 habitants et portent principalement sur le champ de compétences de cette collectivité. Depuis 2016, les PCET ont été remplacés par les plans climat-air-énergie territoriaux (cf. mesure #72).",2016,http://www.developpement-durable.gouv.fr/actions-des-entreprises-et-des-collectivites-climat#e8,eea,,,,,,,,,,,
France,Les plans climat-air-énergie territoriaux,Single PaM,Planning,Implemented,"EU ETS, ESD",Cross-cutting,,,Local,Local: Collectivités,2016,No,No information,"CO2, CH4, N2O, HFC, PFC","Les plans climat air-énergie territoriaux (PCAET) sont des outils d’animation du territoire qui définissent les objectifs stratégiques et opérationnels afin d’atténuer le changement climatique, de s’y adapter, de développer les énergies renouvelables et de maîtriser la consommation d’énergie, en cohérence avec les engagements internationaux de la France. Les PCAET ont replacé l'ancien dispositif des Plans Climat Energie Territoriaux (PCET) en intégrant les enjeux de qualité de l’air. Le plan climat-air-énergie territorial est porté par les intercommunalités de plus de 20 000 habitants et concerne tout le territoire de la collectivité (auparavant, les PCET étaient élaborés par les collectivités territoriales de plus de 50 000 habitants et portaient principalement sur le champ de compétences de cette collectivité). Le PCAET comprend un diagnostic, une stratégie territoriale, un plan d’actions et un dispositif de suivi et d’évaluation. Les objectifs et priorités doivent s’articuler explicitement avec le schéma régional existant.",,http://www.developpement-durable.gouv.fr/actions-des-entreprises-et-des-collectivites-climat#e8,eea,,,,,,,,,,,
France,Plan de compétitivité et d'adaptation des exploitations agricoles,Single PaM,"Economic, Information",Implemented,ESD,Agriculture; Energy consumption; Energy supply,,,Regional,Regional: Conseils régionaux,2014,Yes,"CAP Reform 2013 regulations: Rural Development (1305/2013), 'Horizontal' issues (1306/2013), Direct payments (1307/2013) and Market measures (1308/2013) ","CO2, CH4, N2O","Il s'agit d'aides aux investissements visant à favoriser, notamment : 
- pour l'élevage : couverture de fosses, gestion des effluents ; 
- pour le secteur végétal : réduction de la fertilisation minérale ; 
- pour les enjeux énergétiques : soutiens à l’acquisition des matériels permettant des économies d'énergie ou de production d'énergie renouvelable (comme les méthaniseurs) ; 
- pour l'agroécologie : investissements pour le développement de la culture de légumineuses et l'autonomie fourragère [cf. la mesure ""Plan protéines végétales"" (#76), intégrée au projet agro-écologique (mesure #116)]",2020,http://agriculture.gouv.fr/sites/minagri/files/plan_pour_la_competitivite_et_ladaptation.pdf,eea,,,,,,,,,,,
France,Plan Energie Méthanisation Autonomie Azote,Single PaM,"Economic, Other, Planning",Implemented,"ESD, EU ETS",Agriculture; Energy supply,,,Government,Government: Ministère de l'Agriculture,2013,No,No information,"CH4, CO2",Plan visant le développement de la méthanisation agricole en soutenant financièrement l’innovation dans l’objectif d’une meilleure gestion de l'azote.,,http://agriculture.gouv.fr/IMG/pdf/plan_EMAA_VF_cle0ded2a.pdf,eea,,,,,,,,,,,
France,Plan Ambition Bio 2017,Single PaM,"Economic, Education, Information, Planning, Research",Implemented,ESD,Agriculture,,,Government,Government: Ministère en charge de l'Agriculture,2014,Yes,"CAP Reform 2013 regulations: Rural Development (1305/2013), 'Horizontal' issues (1306/2013), Direct payments (1307/2013) and Market measures (1308/2013) ",N2O,"Plan de soutien à l'agriculture biologique, avec un objectif général de doublement de la part des surfaces en bio d'ici fin 2017 associé à un objectif ambitieux de développement continu et durable de la consommation.",2017,http://agriculture.gouv.fr/programme-ambition-bio-2017,eea,,,,,,,,,,,
France,Plan Protéines Végétales pour la France,Single PaM,"Economic, Information, Planning, Regulatory, Research",Implemented,ESD,Agriculture,,,Government,Government: Ministère en charge de l'Agriculture,2015,Yes, ,N2O,"Ce plan vise à engager durablement l'agriculture française dans le développement de cultures de légumineuses pour améliorer la performance environnementale et économique de l’agriculture française. Il s’inscrit pleinement dans le projet agro-écologique pour la France porté par le ministère en charge de l'agriculture. Il s'articule autour de 3 axes principaux: 
- le développement de la production de protéines végétales et le renforcement de l'autonomie de l'élevage français, en mobilisant les outils réglementaires et incitatifs de la Politique Agricole Commune ; 
- la poursuite d'efforts de recherche et d'appui technique coordonnés aux producteurs ; 
- le renforcement de la gouvernance. 
Parmi les dispositifs prévus, on trouve : 
- aide couplée pour la production de protéagineux (pois, féverole, lupin...), 
- soutien à la production de légumineuses fourragères destinées à la déshydratation (luzerne déshydratée), 
- soutien à la production de légumineuses fourragères dans les exploitations d'élevage (ayant au moins 5 Unité Gros Bétail (herbivores et monogastriques), 
- soutien à la production de semences de légumineuses et de graminées fourragères.",2020,http://agriculture.gouv.fr/plan-proteines-vegetales-2014-2020,eea,,,,,,,,,,,
France,Mesures Agro Environnementales et Climatiques,Single PaM,Economic,Implemented,"ESD, LULUCF","Agriculture; Land use, land use change and forestry",,,Government,Government: Ministère en charge de l'Agriculture,2015,Yes, ,"CH4, N2O, CO2","Les Mesures agroenvironnementales et Climatiques (MAEC) permettent d’accompagner financièrement les exploitations agricoles qui s’engagent dans le développement de pratiques combinant performance économique et performance environnementale ou dans le maintien de telles pratiques lorsqu’elles sont menacées de disparition. 
Mesures agroenvironnementales et climatiques pour la période 2014-2020 : 
- systèmes ; 
- maintien de pratiques pour les systèmes herbagers extensifs/limitation intensification et retour de la matière organique au sol ;  
- maintien et de changement de pratique pour les systèmes de polyculture-élevage/limitation des intrants ; 
- changement de pratique pour les grandes cultures/limitation des intrants ;
- réduction voire suppression des engrais ; 
- introduction de légumineuses dans les systèmes irrigués (en particulier dans les systèmes en monoculture de maïs) ; 
- entretien des éléments topographiques tels que les haies, les bosquets, les alignements d'arbres,... (qui contribuent donc au stockage de carbone).",2020,http://agriculture.gouv.fr/maec-les-nouvelles-mesures-agro-environnementales-et-climatiques-de-la-pac-2015,eea,,,,,,,,,,,
France,Mise en place des Groupements d’Intérêt Economique et EnvironnementaI forestiers,Single PaM,"Economic, Regulatory",Implemented,LULUCF,"Land use, land use change and forestry",,,Government,Government: Ministère en charge de l'agriculture,2015,No,No information,CO2,Cadre réglementaire et financier pour inciter les propriétaires forestiers à se regrouper pour une gestion commune de leurs exploitations / de leurs parcelles.,,,eea,,,,,,,,,,,
France,5ème programme d'action nitrates,Single PaM,Regulatory,Implemented,ESD,Agriculture,,,Government,Government: Ministère en charge de l'Agriculture,2011,Yes,Nitrate Directive 1991/676/EEC ,N2O,"Le 5ème programme d'action nitrates est pris en application de la directive nitrates en France. Il vise le renforcement de la maîtrise de la fertilisation (bilan azoté). Le cinquième programme d’actions « nitrates » est constitué : 
- d’un programme d’actions national, obligatoire sur l’ensemble des zones vulnérables françaises (et donc directement opposable aux exploitants agricoles situés en zones vulnérables) avec huit mesures : périodes d’interdiction, stockage, épandage, plan de fumure, quantité maximale, conditions d’épandage, couverture végétale et bandes végétalisées ;
- et de programmes d’actions régionaux qui viennent compléter et renforcer le socle national de manière proportionnée et adaptée à chaque territoire.",,,eea,,,,,,,,,,,
France,Reconnaissance de l'intérêt général du stockage de carbone dans la biomasse et dans les produits bois,Single PaM,"Other, Regulatory",Implemented,LULUCF,"Land use, land use change and forestry",,,Government,"Government: Ministère de l’agriculture, de l’agroalimentaire et de la forêt (Government)",2014,Yes,LULUCF Decision No 529/2013/EU ,CO2,"L’importance du stockage de carbone dans la biomasse et dans les produits bois est inscrit dans la loi d’avenir pour l’agriculture, l’alimentation et la forêt de 2014. Cela permet sa prise en compte dans des réglementations nationales, locales et dans des mesures comme par exemple la création d’un fonds de mécénat par la coopérative forestière Alliance Forêt Bois.",,,eea,,,,,,,,,,,
France,Fonds de garantie pour la rénovation énergétique des logements,Single PaM,Economic,Implemented,"EU ETS, ESD",Energy consumption,,,Government,Government: Ministère de l'Environnement,2016,No,No information,CO2,"Le fonds de garantie pour la rénovation énergétique a pour objet de faciliter le financement des travaux d'amélioration de la performance énergétique des logements en garantissant les prêts individuels, octroyés à des personnes situées sous un plafond de ressources, et collectifs destinés à financer les travaux de rénovation des bâtiments résidentiels ainsi que les garanties des entreprises d’assurance ou de sociétés de caution.
Ce fonds est destiné : aux ménages aux ressources modestes réalisant des travaux d'amélioration de la performance énergétique dans leur logement ; aux syndicats de copropriétaires et copropriétaires réalisant des travaux d'amélioration de la performance énergétique des logements ; aux banques distribuant les éco-prêts à taux zéro à ces publics et les prêts collectifs pour la rénovation énergétique des copropriétés ; aux organismes accordant des cautionnements garantissant ces prêts collectifs aux ménages aux revenus modestes.",,,eea,,,,,,,,,,,
France,Crédit d'impôt pour la transition énergétique pour financer des travaux de performance énergétique des logements,Single PaM,Fiscal,Implemented,"ESD, EU ETS",Energy consumption,,,Government,"Government: Ministère en charge de l'environnement,Government: Ministère de l'économie,Government: Ministère en charge du logement",2005,No,No information,CO2,"Le crédit d’impôt pour la transition énergétique (CITE) porte sur les dépenses d'amélioration de la performance énergétique des bâtiments existants. Son barème a été simplifié et réorienté au 1er janvier 2014 pour favoriser les rénovations lourdes. A partir de septembre 2014, il a été porté à 30% du montant de certaines dépenses jusqu’au 31 décembre 2017. Peuvent notamment bénéficier de ce dispositif les dépenses d’équipements de production d'énergie utilisant une source d'énergie renouvelable (à l'exception des équipements de production d'électricité utilisant l'énergie radiative du soleil), les pompes à chaleur autres que air/ air dont la finalité essentielle est la production de chaleur ou d'eau chaude sanitaire, ainsi que le coût de la pose de l'échangeur de chaleur souterrain des pompes à chaleur géothermiques dans la limite d’un plafond par mètre carré.",,,eea,,,,,,,,,,,
